year,yr_surv,col_area,rs,nboffspring,sum_surv,yrlg_disp,death_type,massjun,massaug,nb_mass,uid,uid.year
2008,1,river,wean,6,NA,NA,NA,2822.659531,4085.997099,2,477,477 _ 2008
2009,1,river,wean,2,NA,NA,NA,2904.560924,4091.886751,3,477,477 _ 2009
2010,0,bench,wean,6,NA,NA,NA,3095.405336,3995.978595,4,477,477 _ 2010
2004,1,bench,no,NA,NA,NA,NA,NA,NA,NA,634,634 _ 2004
2005,0,bench,NA,NA,NA,1,NA,NA,NA,NA,634,634 _ 2005
2004,1,bench,no,NA,NA,NA,NA,340.1063298,1462.823256,6,424,424 _ 2004
2005,1,bench,no,NA,NA,0,NA,1533.060818,3031.146953,6,424,424 _ 2005
2006,1,river_rivermound,no,NA,NA,NA,NA,2746.245627,3617.637557,2,424,424 _ 2006
2007,1,river_rivermound,wean,2,NA,NA,NA,2925.719617,4076.349382,2,424,424 _ 2007
2008,1,river,lac,NA,NA,NA,NA,2711.586823,3990.155335,3,424,424 _ 2008
2009,1,river,wean,3,NA,NA,NA,2719.986557,4103.619179,5,424,424 _ 2009
2010,0,bench,wean,1,NA,NA,NA,3095.430195,3965.570426,3,424,424 _ 2010
2004,1,river_sprucemound,no,NA,NA,NA,NA,628.0554642,2011.56454,9,460,460 _ 2004
2005,0,river,no,NA,NA,1,NA,1770.802965,3869.040307,12,460,460 _ 2005
2004,0,boulder,no,NA,NA,NA,NA,664.8416439,1766.511198,2,1705,1705 _ 2004
2005,0,gothictown,no,NA,NA,NA,NA,1007.470928,2286.162988,4,767,767 _ 2005
2004,0,river_rivermound,no,NA,NA,NA,NA,428.7099334,1487.877186,1,421,421 _ 2004
2004,0,boulder,no,NA,NA,NA,NA,329.6563158,1467.48768,6,1921,1921 _ 2004
2004,1,gothictown,no,NA,NA,NA,NA,374.2150943,1722.397162,10,500,500 _ 2004
2005,1,gothictown,no,NA,NA,0,NA,1592.699938,3151.347631,5,500,500 _ 2005
2006,0,river_rivermound,NA,NA,NA,NA,NA,NA,NA,NA,500,500 _ 2006
2006,0,stonefield,no,NA,NA,NA,NA,390.1601098,1020.034676,1,801,801 _ 2006
2004,1,bench,no,NA,NA,NA,NA,3239.458239,5732.286905,9,829,829 _ 2004
2005,1,river_rivermound,sire,13,NA,NA,NA,3304.750396,5121.871275,2,829,829 _ 2005
2006,1,river,sire,16,NA,NA,NA,3893.358825,5428.641838,3,829,829 _ 2006
2007,1,river_rivermound,sire,28,NA,NA,NA,3962.586767,5593.339128,1,829,829 _ 2007
2008,0,bench,sire,10,NA,NA,NA,NA,NA,NA,829,829 _ 2008
2004,1,river_southmound,no,NA,NA,NA,NA,491.3654284,1922.734511,10,1657,1657 _ 2004
2005,0,river,NA,NA,NA,1,NA,NA,NA,NA,1657,1657 _ 2005
2004,0,river_sprucemound,no,NA,NA,NA,NA,455.3784025,1640.319566,4,971,971 _ 2004
2004,0,gothictown,no,NA,NA,NA,NA,2617.617705,4363.050915,1,1547,1547 _ 2004
2004,1,river_sprucemound,no,NA,NA,NA,NA,429.5286499,1643.436654,7,794,794 _ 2004
2005,1,river,no,NA,NA,0,NA,1638.437371,3371.887803,5,794,794 _ 2005
2006,1,river,no,NA,NA,NA,NA,2845.81213,4112.56211,9,794,794 _ 2006
2007,1,river_rivermound,scro,NA,NA,NA,NA,3341.666736,5437.863689,7,794,794 _ 2007
2008,0,river_rivermound,NA,NA,NA,NA,NA,NA,NA,NA,794,794 _ 2008
2004,1,boulder,no,NA,NA,NA,NA,453.7599682,1730.970265,9,953,953 _ 2004
2005,1,boulder,no,NA,NA,0,NA,1311.862477,3229.986886,6,953,953 _ 2005
2006,1,boulder,lac,NA,NA,NA,NA,2422.747488,3527.943318,8,953,953 _ 2006
2007,1,boulder,wean,5,NA,NA,NA,2582.902515,3383.105494,8,953,953 _ 2007
2008,1,boulder,no,NA,NA,NA,NA,2408.041758,3604.154431,2,953,953 _ 2008
2009,1,boulder,wean,3,NA,NA,NA,2441.904166,3293.436399,3,953,953 _ 2009
2010,0,boulder,wean,4,NA,NA,NA,2733.604192,3412.913886,5,953,953 _ 2010
2004,1,river_southmound,no,NA,NA,NA,NA,368.9613005,1660.46102,11,1396,1396 _ 2004
2005,0,river,NA,NA,NA,1,NA,NA,NA,NA,1396,1396 _ 2005
2004,1,gothictown,no,NA,NA,NA,NA,346.6828321,1737.638958,6,130,130 _ 2004
2005,1,gothictown,NA,NA,NA,0,NA,NA,NA,NA,130,130 _ 2005
2006,0,gothictown,NA,NA,NA,NA,NA,NA,NA,NA,130,130 _ 2006
2003,0,picnic_upper,NA,NA,NA,NA,NA,311.1585692,1060.030233,1,1341,1341 _ 2003
2003,1,bench,no,NA,NA,NA,NA,469.8788941,1899.573673,6,1620,1620 _ 2003
2004,0,bench,no,NA,NA,1,NA,2431.584658,4589.374819,3,1620,1620 _ 2004
2003,1,picnic_lower,no,NA,NA,NA,NA,429.0775471,1269.488108,3,838,838 _ 2003
2004,0,picnic_lower,no,NA,NA,1,NA,1464.869542,2989.214821,9,838,838 _ 2004
2003,1,bench,no,NA,NA,NA,NA,337.5339623,1501.279379,5,1251,1251 _ 2003
2004,1,bench,no,NA,NA,0,NA,2032.137396,3042.847799,3,1251,1251 _ 2004
2005,1,bench,no,NA,NA,NA,NA,2437.304951,3095.357894,3,1251,1251 _ 2005
2006,1,bench,wean,3,NA,NA,NA,2832.236338,2849.672248,3,1251,1251 _ 2006
2007,1,bench,wean,6,NA,NA,NA,2418.223159,3530.861395,3,1251,1251 _ 2007
2008,0,bench,wean,7,NA,NA,NA,2335.956357,3462.164033,3,1251,1251 _ 2008
2003,1,bench,no,NA,NA,NA,NA,509.9061835,1803.196924,6,1263,1263 _ 2003
2004,1,bench,no,NA,NA,0,NA,2363.146209,3512.198789,7,1263,1263 _ 2004
2005,1,bench,lac,NA,NA,NA,NA,2542.886473,3634.50067,5,1263,1263 _ 2005
2006,1,bench,wean,7,NA,NA,NA,3302.022557,3881.471363,6,1263,1263 _ 2006
2007,1,bench,wean,7,NA,NA,NA,3324.570904,4430.473438,2,1263,1263 _ 2007
2008,1,bench,NA,NA,NA,NA,NA,NA,NA,NA,1263,1263 _ 2008
2009,1,bench,wean,6,NA,NA,NA,3261.067166,4176.651113,3,1263,1263 _ 2009
2010,0,bench,wean,3,NA,NA,NA,3440.227264,4373.384512,1,1263,1263 _ 2010
2003,1,mm,no,NA,NA,NA,NA,413.0878437,1666.474705,4,1906,1906 _ 2003
2004,1,mm,no,NA,NA,0,NA,2174.672245,4638.000729,6,1906,1906 _ 2004
2005,0,mm,scro,NA,NA,NA,NA,3053.491588,4609.144989,2,1906,1906 _ 2005
2004,0,stonefield,NA,NA,NA,NA,NA,458.1425847,1252.850011,1,1410,1410 _ 2004
2003,0,picnic_lower,no,NA,NA,NA,NA,456.9572169,1304.647152,2,454,454 _ 2003
2003,1,picnic_lower,no,NA,NA,NA,NA,475.3212462,1399.912878,4,1064,1064 _ 2003
2004,0,picnic_lower,no,NA,NA,1,NA,1553.192683,3031.273274,6,1064,1064 _ 2004
2004,0,stonefield,NA,NA,NA,NA,NA,423.2517767,1191.557561,2,1531,1531 _ 2004
2004,1,picnic_lower,no,NA,NA,NA,NA,527.0216592,1400.138293,3,267,267 _ 2004
2005,1,picnic_lower,no,NA,NA,0,NA,1203.963507,3503.655474,5,267,267 _ 2005
2006,0,picnic_lower,sire,2,NA,NA,NA,2952.397267,4702.380504,3,267,267 _ 2006
2004,0,stonefield,NA,NA,NA,NA,NA,458.1425847,1252.850011,1,723,723 _ 2004
2004,0,stonefield,NA,NA,NA,NA,NA,395.2021728,1141.160819,4,1052,1052 _ 2004
2004,1,mm,no,NA,NA,NA,NA,539.0366383,1504.028693,4,1146,1146 _ 2004
2005,1,mm,no,NA,NA,0,NA,1249.7836,3375.741361,4,1146,1146 _ 2005
2006,1,mm,wean,4,NA,NA,NA,2576.746817,3706.050192,4,1146,1146 _ 2006
2007,0,mm,wean,2,NA,NA,NA,2783.819766,3675.57483,5,1146,1146 _ 2007
2004,0,picnic_lower,no,NA,NA,NA,NA,522.5055533,1424.105791,3,1804,1804 _ 2004
2004,1,mm,NA,NA,NA,NA,NA,390.0902338,1280.342631,2,1176,1176 _ 2004
2005,1,mm,no,NA,NA,1,NA,1219.926752,3031.945336,2,1176,1176 _ 2005
2006,0,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,1176,1176 _ 2006
2004,1,mm,no,NA,NA,NA,NA,475.577292,1415.049073,5,1061,1061 _ 2004
2005,1,mm,no,NA,NA,0,NA,1242.721835,2969.363126,4,1061,1061 _ 2005
2006,0,mm,no,NA,NA,NA,NA,2529.734616,3956.571545,2,1061,1061 _ 2006
2004,1,mm,no,NA,NA,NA,NA,514.1228522,1414.017277,5,1427,1427 _ 2004
2005,1,mm,no,NA,NA,0,NA,1355.985471,3324.446689,5,1427,1427 _ 2005
2006,1,mm,wean,7,NA,NA,NA,2471.337137,3033.839802,4,1427,1427 _ 2006
2007,1,mm,wean,6,NA,NA,NA,2514.45938,3714.570932,3,1427,1427 _ 2007
2008,0,mm,wean,5,NA,NA,NA,2400.578165,2935.739803,5,1427,1427 _ 2008
2006,0,stonefield,no,NA,NA,NA,NA,414.4780335,1060.949932,1,757,757 _ 2006
2006,1,stonefield,no,NA,NA,NA,NA,480.5235006,1143.126498,3,1509,1509 _ 2006
2007,0,stonefield,no,NA,NA,NA,NA,1862.547946,3997.510183,3,1509,1509 _ 2007
2004,0,mm,no,NA,NA,NA,NA,535.8413548,1488.701079,5,1597,1597 _ 2004
2006,0,stonefield,no,NA,NA,NA,NA,306.1070482,869.3658089,1,1807,1807 _ 2006
2004,1,mm,no,NA,NA,NA,NA,468.7597847,1403.113632,4,847,847 _ 2004
2005,1,mm,no,NA,NA,0,NA,1205.639207,3040.12925,9,847,847 _ 2005
2006,0,mm,no,NA,NA,NA,NA,2595.627859,4058.061565,6,847,847 _ 2006
2007,1,mm,no,NA,NA,NA,NA,583.2460111,1824.933933,10,1216,1216 _ 2007
2008,0,mm,no,NA,NA,NA,NA,1286.474752,4569.089704,4,1216,1216 _ 2008
2006,0,stonefield,no,NA,NA,NA,NA,388.0738944,1002.712344,3,931,931 _ 2006
2004,1,boulder,no,NA,NA,NA,NA,423.6215302,1705.359268,5,90,90 _ 2004
2005,1,boulder,no,NA,NA,0,NA,1352.196929,3302.103295,5,90,90 _ 2005
2006,0,boulder,lac,NA,NA,NA,NA,2636.64717,3683.955797,10,90,90 _ 2006
2004,1,picnic_lower,NA,NA,NA,NA,NA,592.9022332,1509.866547,2,1443,1443 _ 2004
2005,1,picnic_lower,no,NA,NA,1,NA,1427.631778,3499.225231,3,1443,1443 _ 2005
2006,1,picnic_lower,lac,NA,NA,NA,NA,2819.389302,3701.685325,3,1443,1443 _ 2006
2007,0,picnic_lower,preg,NA,NA,NA,NA,2985.381309,3875.584674,2,1443,1443 _ 2007
2004,0,picnic_lower,no,NA,NA,NA,NA,371.1674778,937.6070519,3,943,943 _ 2004
2004,0,boulder,no,NA,NA,NA,NA,466.2218478,1731.458066,2,162,162 _ 2004
2004,0,river_southmound,NA,NA,NA,NA,NA,384.7716436,1755.726197,1,1484,1484 _ 2004
2010,1,river,no,NA,NA,NA,NA,449.1793896,1419.701013,6,404,404 _ 2010
2011,0,river_sprucemound,no,NA,NA,NA,NA,1783.003792,3740.497192,2,404,404 _ 2011
2004,1,river_southmound,no,NA,NA,NA,NA,504.4875412,1593.545298,6,929,929 _ 2004
2005,1,river,no,NA,NA,1,NA,1459.912718,3142.694609,3,929,929 _ 2005
2006,0,river,NA,NA,NA,NA,NA,NA,NA,NA,929,929 _ 2006
2012,0,stonefield_main,no,NA,NA,NA,NA,457.609433,1437.597819,4,50,50 _ 2012
2010,0,gothictown,NA,NA,NA,NA,NA,317.8481449,1527.763708,2,193,193 _ 2010
2004,0,picnic_lower,no,NA,NA,NA,NA,534.6840477,1378.735097,3,86,86 _ 2004
2004,1,river_southmound,no,NA,NA,NA,NA,460.0397959,1422.295117,3,741,741 _ 2004
2005,0,river,NA,NA,NA,0,NA,NA,NA,NA,741,741 _ 2005
2010,0,gothictown,NA,NA,NA,NA,NA,472.9135416,1947.528006,3,447,447 _ 2010
2004,0,picnic_lower,NA,NA,NA,NA,NA,597.4040906,1481.02775,1,1038,1038 _ 2004
2004,1,picnic_lower,no,NA,NA,NA,NA,611.1418471,1515.660733,2,951,951 _ 2004
2005,0,picnic_lower,NA,NA,NA,0,NA,NA,NA,NA,951,951 _ 2005
2002,1,picnic_lower,wean,3,NA,NA,NA,2470.265567,3397.840119,24,264,264 _ 2002
2003,1,picnic_lower,preg,NA,NA,NA,NA,2375.703317,3404.443284,9,264,264 _ 2003
2004,1,picnic_lower,wean,3,NA,NA,NA,2600.375699,3410.384487,11,264,264 _ 2004
2005,1,picnic_lower,lac,NA,NA,NA,NA,2450.913273,3585.279093,13,264,264 _ 2005
2006,1,picnic_lower,lac,NA,NA,NA,NA,2720.270529,3789.806933,12,264,264 _ 2006
2007,1,picnic,preg,NA,NA,NA,NA,2800.069078,4072.575931,12,264,264 _ 2007
2008,0,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,264,264 _ 2008
2010,0,gothictown,NA,NA,NA,NA,NA,389.3715698,1371.990067,1,1221,1221 _ 2010
2009,0,gothictown,NA,NA,NA,NA,NA,355.0813686,1636.91031,7,1382,1382 _ 2009
2009,1,river,NA,NA,NA,NA,NA,679.1148349,1758.925126,11,386,386 _ 2009
2010,0,river_rivermound,no,NA,NA,NA,NA,1868.902729,4323.381628,4,386,386 _ 2010
2009,1,bench,NA,NA,NA,NA,NA,417.104537,1658.906417,7,1527,1527 _ 2009
2010,0,bench,no,NA,NA,0,NA,2119.821017,4150.868341,8,1527,1527 _ 2010
2003,0,gothictown,no,NA,NA,NA,NA,344.6575188,1489.099954,6,1685,1685 _ 2003
2009,1,gothictown,NA,NA,NA,NA,NA,292.4567823,1426.870984,6,1518,1518 _ 2009
2010,1,gothictown,no,NA,NA,1,NA,1485.405764,3655.251114,9,1518,1518 _ 2010
2011,0,gothictown,no,NA,NA,NA,out house,2495.632684,3888.583277,1,1518,1518 _ 2011
2009,1,bench,NA,NA,NA,NA,NA,479.0767118,1950.790191,12,1087,1087 _ 2009
2010,0,bench,no,NA,NA,0,NA,2468.811439,4772.75923,13,1087,1087 _ 2010
2009,1,river,NA,NA,NA,NA,NA,656.7164548,1696.690683,3,786,786 _ 2009
2010,0,river_rivermound,no,NA,NA,NA,NA,1706.670324,4098.141008,7,786,786 _ 2010
2009,1,river,NA,NA,NA,NA,NA,339.1037982,1042.600439,6,207,207 _ 2009
2010,1,river_sprucemound,no,NA,NA,1,NA,1114.40506,2762.903075,1,207,207 _ 2010
2011,0,rvbend,no,NA,NA,NA,NA,1917.908489,3123.744571,2,207,207 _ 2011
2003,1,mm,no,NA,NA,NA,NA,531.5451308,1101.515033,2,430,430 _ 2003
2004,0,mm,no,NA,NA,1,NA,1776.259358,3597.381191,7,430,430 _ 2004
2003,1,river,no,NA,NA,NA,NA,386.1788579,1499.635713,6,1032,1032 _ 2003
2004,1,river,no,NA,NA,0,NA,1910.035998,3004.716496,14,1032,1032 _ 2004
2005,1,river,preg,NA,NA,NA,NA,2548.167681,3725.303755,8,1032,1032 _ 2005
2006,1,river,wean,6,NA,NA,NA,2934.033633,3576.562513,10,1032,1032 _ 2006
2007,1,river,wean,4,NA,NA,NA,2962.540461,3525.505742,16,1032,1032 _ 2007
2008,1,river,wean,4,NA,NA,NA,2743.703223,4008.697903,12,1032,1032 _ 2008
2009,1,river,wean,6,NA,NA,NA,2791.727704,3658.543505,12,1032,1032 _ 2009
2010,1,river_sprucemound,wean,4,NA,NA,NA,3142.22179,3981.878777,9,1032,1032 _ 2010
2011,1,river_southmound,wean,3,NA,NA,NA,2876.83292,4020.830529,8,1032,1032 _ 2011
2012,1,river_southmound,preglac,NA,NA,NA,NA,3435.925583,4543.78479,5,1032,1032 _ 2012
2013,1,river_southmound,wean,5,NA,NA,NA,2935.092507,4055.583244,5,1032,1032 _ 2013
2014,0,river_sagemound,NA,NA,NA,NA,NA,NA,NA,NA,1032,1032 _ 2014
2003,0,mm,NA,NA,NA,NA,NA,NA,NA,NA,101,101 _ 2003
2003,1,river,no,NA,NA,NA,NA,708.6437436,1332.049111,8,1793,1793 _ 2003
2004,1,river,no,NA,NA,0,NA,1563.670046,2742.342984,2,1793,1793 _ 2004
2005,0,river,NA,NA,NA,NA,NA,NA,NA,NA,1793,1793 _ 2005
2003,1,river,no,NA,NA,NA,NA,369.751274,1551.39184,8,861,861 _ 2003
2004,1,river,no,NA,NA,0,NA,2009.05673,3135.151139,16,861,861 _ 2004
2005,1,river,wean,2,NA,NA,NA,2555.699515,3242.102444,7,861,861 _ 2005
2006,1,river,lac,NA,NA,NA,NA,3129.013661,4206.656578,5,861,861 _ 2006
2007,1,river,lac,NA,NA,NA,NA,3043.276288,3859.880542,6,861,861 _ 2007
2008,1,river,wean,4,NA,NA,NA,2836.668998,3984.24394,2,861,861 _ 2008
2009,1,river,wean,4,NA,NA,NA,3024.55199,4127.618789,3,861,861 _ 2009
2010,1,river_sprucemound,wean,4,NA,NA,NA,3256.243634,4151.768673,2,861,861 _ 2010
2011,1,river_sprucemound,wean,5,NA,NA,NA,2940.590613,4106.584267,4,861,861 _ 2011
2012,1,river_rivermound,wean,6,NA,NA,NA,3491.980561,4100.983828,4,861,861 _ 2012
2013,1,river_sprucemound,wean,3,NA,NA,NA,3303.279077,4089.142219,6,861,861 _ 2013
2014,0,river_southmound,NA,NA,NA,NA,NA,NA,NA,NA,861,861 _ 2014
2003,1,gothictown,no,NA,NA,NA,NA,372.5177662,1576.013527,3,314,314 _ 2003
2004,1,gothictown,no,NA,NA,1,NA,2355.465291,4804.236862,2,314,314 _ 2004
2005,0,gothictown,sire,2,NA,NA,NA,NA,NA,NA,314,314 _ 2005
2003,1,bench,no,NA,NA,NA,NA,446.1896436,1765.441925,8,1023,1023 _ 2003
2004,0,bench,no,NA,NA,1,NA,2333.663157,4526.870714,5,1023,1023 _ 2004
2003,1,gothictown,no,NA,NA,NA,NA,NA,NA,NA,1338,1338 _ 2003
2004,0,beavertalus,sire,1,NA,NA,NA,3704.300729,4959.671496,2,1338,1338 _ 2004
2003,1,mm,no,NA,NA,NA,NA,452.8727086,1012.923545,2,10,10 _ 2003
2004,0,mm,no,NA,NA,1,NA,1837.297108,3794.463947,3,10,10 _ 2004
2003,0,cliff,no,NA,NA,NA,NA,793.3171694,1402.443615,1,201,201 _ 2003
2004,0,river_sprucemound,no,NA,NA,NA,NA,468.4478447,1697.917271,10,415,415 _ 2004
2003,1,northpk,no,NA,NA,NA,NA,698.8410594,1643.310187,1,80,80 _ 2003
2004,1,northpk,no,NA,NA,0,NA,1600.589594,3063.249264,1,80,80 _ 2004
2007,1,northpk,wean,1,NA,NA,NA,2380.144089,2952.030702,2,80,80 _ 2007
2008,0,northpk,wean,1,NA,NA,NA,2234.439302,3211.138826,1,80,80 _ 2008
2003,1,beavertalus,no,NA,NA,NA,NA,2404.459113,3632.262279,1,1272,1272 _ 2003
2004,1,beavertalus,wean,1,NA,NA,NA,2675.553309,3317.903839,1,1272,1272 _ 2004
2007,0,beavertalus,wean,2,NA,NA,NA,2689.645175,3509.754682,2,1272,1272 _ 2007
2003,1,mm,no,NA,NA,NA,NA,392.4102151,1485.201407,3,1354,1354 _ 2003
2004,1,mm,no,NA,NA,0,NA,2068.16895,3711.928259,5,1354,1354 _ 2004
2005,0,mm,no,NA,NA,NA,NA,2349.415086,3529.339904,1,1354,1354 _ 2005
2003,0,mm,no,NA,NA,NA,NA,343.1988589,1328.049675,2,397,397 _ 2003
2003,0,cliff,no,NA,NA,NA,NA,793.3171694,1402.443615,1,1711,1711 _ 2003
2003,0,cliff,no,NA,NA,NA,NA,779.8425264,1309.021508,1,1925,1925 _ 2003
2005,0,river,no,NA,NA,NA,NA,367.9942942,1159.322924,3,1054,1054 _ 2005
2005,0,river,no,NA,NA,NA,NA,477.8847695,1491.543071,4,1388,1388 _ 2005
2005,0,river,no,NA,NA,NA,NA,397.3395482,1571.998916,1,1551,1551 _ 2005
2003,0,cliff,no,NA,NA,NA,NA,811.423944,1424.657064,1,1730,1730 _ 2003
2004,1,river_sprucemound,no,NA,NA,NA,NA,384.963403,1641.973466,9,1274,1274 _ 2004
2005,1,river,no,NA,NA,0,NA,1707.810669,3274.127393,11,1274,1274 _ 2005
2006,1,river,no,NA,NA,NA,NA,3086.032665,4121.917286,3,1274,1274 _ 2006
2007,1,gothictown,sire,5,NA,NA,NA,3612.541298,5369.801373,1,1274,1274 _ 2007
2008,1,gothictown,sire,7,NA,NA,NA,3168.283527,5703.358277,1,1274,1274 _ 2008
2009,1,gothictown,sire,7,NA,NA,NA,3533.889627,5612.842415,1,1274,1274 _ 2009
2010,0,river_sprucemound,sire,20,NA,NA,NA,NA,NA,NA,1274,1274 _ 2010
2003,1,mm,no,NA,NA,NA,NA,373.1917466,1499.959009,2,1284,1284 _ 2003
2004,0,mm_maintalus,NA,NA,NA,1,NA,NA,NA,NA,1284,1284 _ 2004
2003,0,cliff,no,NA,NA,NA,NA,753.6406253,1351.686796,1,452,452 _ 2003
2003,1,river,no,NA,NA,NA,NA,670.95071,1744.5874,4,282,282 _ 2003
2004,1,river,no,NA,NA,0,NA,1758.800846,2993.696771,10,282,282 _ 2004
2005,1,river,preg,NA,NA,NA,NA,2559.471857,3342.795016,4,282,282 _ 2005
2006,1,river,preg,NA,NA,NA,NA,2911.479919,4071.936152,7,282,282 _ 2006
2007,1,river,wean,3,NA,NA,NA,3004.502609,3713.446849,14,282,282 _ 2007
2008,1,river,lac,NA,NA,NA,NA,2779.168604,3804.385235,6,282,282 _ 2008
2009,1,river,wean,5,NA,NA,NA,2932.571874,3935.439263,4,282,282 _ 2009
2010,0,river_sprucemound,wean,5,NA,NA,NA,3142.323712,4010.706478,2,282,282 _ 2010
2004,0,picnic_lower,NA,NA,NA,NA,NA,332.5400854,1388.324216,1,1615,1615 _ 2004
2005,0,gothictown,no,NA,NA,NA,NA,996.0097665,2278.595542,1,1599,1599 _ 2005
2003,0,northpk,no,NA,NA,NA,NA,2049.134156,2856.019033,5,651,651 _ 2003
2003,1,boulder,scro,NA,NA,NA,NA,2809.303369,4417.468401,3,1292,1292 _ 2003
2004,0,boulder,sire,12,NA,NA,NA,3353.09515,4556.482468,2,1292,1292 _ 2004
2005,1,picnic_lower,no,NA,NA,NA,NA,363.7176253,1098.740332,4,823,823 _ 2005
2006,1,picnic_lower,no,NA,NA,0,NA,1267.660237,2734.189182,10,823,823 _ 2006
2007,1,picnic_upper,no,NA,NA,NA,NA,2327.742063,4140.200178,3,823,823 _ 2007
2008,1,picnic_lower,preg,NA,NA,NA,NA,2335.335389,3369.112441,2,823,823 _ 2008
2009,1,picnic_middle,wean,1,NA,NA,NA,2565.662377,3469.114681,6,823,823 _ 2009
2010,0,picnic_lower,lac,NA,NA,NA,NA,2787.378056,3563.323072,1,823,823 _ 2010
2005,1,river,no,NA,NA,NA,NA,498.9926147,1540.424592,9,305,305 _ 2005
2006,0,river,no,NA,NA,1,NA,2193.281689,4154.86909,3,305,305 _ 2006
2005,1,river,no,NA,NA,NA,NA,447.3918,1607.51014,7,1460,1460 _ 2005
2006,0,river,no,NA,NA,1,NA,2205.535351,4320.191751,1,1460,1460 _ 2006
2005,1,river,no,NA,NA,NA,NA,493.2433875,1497.011933,5,1213,1213 _ 2005
2006,0,river,no,NA,NA,1,NA,NA,NA,NA,1213,1213 _ 2006
2005,1,picnic_lower,no,NA,NA,NA,NA,434.1173222,1190.616957,2,152,152 _ 2005
2006,1,picnic_lower,no,NA,NA,0,NA,1149.797296,3019.615988,8,152,152 _ 2006
2007,1,picnic_lower,lac,NA,NA,NA,NA,1874.244585,3369.530862,3,152,152 _ 2007
2008,0,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,152,152 _ 2008
2005,0,river_rivermound,no,NA,NA,NA,NA,526.0427175,1871.768576,1,937,937 _ 2005
2005,0,river_rivermound,no,NA,NA,NA,NA,481.9435053,1784.477571,1,729,729 _ 2005
2005,1,picnic,no,NA,NA,NA,NA,346.1801779,1178.655773,2,1543,1543 _ 2005
2006,0,picnic_middle,no,NA,NA,0,NA,1462.167823,3311.17198,2,1543,1543 _ 2006
2005,0,river_rivermound,no,NA,NA,NA,NA,559.7893276,1455.456568,3,427,427 _ 2005
2005,0,gothictown,no,NA,NA,NA,NA,673.4179896,1564.14507,2,1055,1055 _ 2005
2006,0,picnic_lower,no,NA,NA,1,NA,1247.920387,2932.76021,1,1060,1060 _ 2006
2005,1,river_rivermound,no,NA,NA,NA,NA,467.1308534,1542.635881,6,256,256 _ 2005
2006,1,river_rivermound,no,NA,NA,1,NA,1870.191867,3220.071475,2,256,256 _ 2006
2007,1,bench,no,NA,NA,NA,NA,3033.906223,4665.089744,2,256,256 _ 2007
2008,1,bench,wean,5,NA,NA,NA,2794.782448,3944.279909,3,256,256 _ 2008
2009,1,bench,wean,1,NA,NA,NA,2975.327656,3960.346493,1,256,256 _ 2009
2010,0,bench,wean,7,NA,NA,NA,NA,NA,NA,256,256 _ 2010
2005,0,gothictown,lac,NA,NA,NA,NA,2732.250984,3554.349519,1,1285,1285 _ 2005
2005,0,picnic,no,NA,NA,NA,NA,411.984907,1214.587829,2,505,505 _ 2005
2005,0,gothictown,no,NA,NA,NA,NA,477.0320413,1510.072254,1,1834,1834 _ 2005
2005,0,gothictown,no,NA,NA,NA,NA,483.9356637,1523.424058,1,41,41 _ 2005
2006,0,mm,no,NA,NA,NA,NA,323.6511217,1125.884884,5,434,434 _ 2006
2005,0,picnic_middle,no,NA,NA,NA,NA,505.7149516,1109.614801,2,1514,1514 _ 2005
2005,0,boulder,no,NA,NA,NA,NA,635.9170211,1796.182385,6,691,691 _ 2005
2005,1,boulder,no,NA,NA,NA,NA,653.0307919,1760.907185,4,680,680 _ 2005
2006,1,picnic_lower,no,NA,NA,0,NA,1677.630267,3432.667789,3,680,680 _ 2006
2007,1,picnic_lower,scro,NA,NA,NA,NA,2710.828258,4556.303211,4,680,680 _ 2007
2008,1,picnic_lower,sire,13,NA,NA,NA,2688.170865,4493.027761,5,680,680 _ 2008
2009,1,picnic_lower,sire,13,NA,NA,NA,3157.335492,4686.661672,3,680,680 _ 2009
2010,1,boulder,sire,10,NA,NA,NA,2952.662204,4739.856849,1,680,680 _ 2010
2011,1,picnic_lower,no,NA,NA,NA,NA,2374.770267,4551.32812,2,680,680 _ 2011
2012,1,picnic_lower,sire,16,NA,NA,NA,3671.267088,5244.678514,3,680,680 _ 2012
2013,1,picnic_lower,sire,8,NA,NA,NA,NA,NA,NA,680,680 _ 2013
2015,1,picnic_lower,sire,8,NA,NA,NA,NA,NA,NA,680,680 _ 2015
2016,0,picnic_lower,NA,NA,NA,NA,NA,NA,NA,NA,680,680 _ 2016
2005,0,gothictown,no,NA,NA,NA,NA,851.9531749,2030.266344,2,1973,1973 _ 2005
2006,0,picnic_middle,no,NA,NA,NA,NA,277.8655767,968.0982769,3,582,582 _ 2006
2006,1,mm,no,NA,NA,NA,NA,357.5199962,1164.835738,4,987,987 _ 2006
2007,0,mm,no,NA,NA,1,NA,1490.796889,3638.754317,3,987,987 _ 2007
2006,1,mm,no,NA,NA,NA,NA,399.6095922,1256.605389,7,577,577 _ 2006
2007,0,mm,no,NA,NA,1,NA,1400.476946,3069.32057,2,577,577 _ 2007
2006,1,mm,no,NA,NA,NA,NA,346.5761228,1087.843986,3,1823,1823 _ 2006
2007,1,mm,no,NA,NA,0,NA,1423.690786,3154.6192,9,1823,1823 _ 2007
