colony_year,pup_sex,pup_yrborn,pup_col_area,pup_emerjdate,aug15_emergence,pup_littersizeborn,indegree,outdegree,betweenness,outcloseness,incloseness,local_clustering,neg_ave_shortest_path,ave_shortest_path,eigenv,outstrength,instrength,valley,pup_summer_surv,pup_year_surv,yearly.pred.index,overall.index,pup_massjun,pup_massaug,mass_gain,mass_gain.day,mother_age,cluster,groupID,year,group_size,network_size,mother_uid,pup_uid,mother_year
picnic_2004,M,2004,picnic,192,35,7,0.04,0.12,0.031662393,0.085034014,0.094339623,0.166666667,-3.261764706,3.261764706,0.261912071,6,1,uv,1,1,high,high,611.1418471,1515.660733,904.5188859,25.84339674,5,41,14_pc_41,2004,2,33,85,190,85 _ 2004
picnic_2004,F,2004,picnic,192,35,7,0.04,0.12,0.031662393,0.085034014,0.094339623,0.166666667,-3.261764706,3.261764706,0.261912071,6,1,uv,1,0,high,high,574.9807971,1478.7655,903.7847029,25.82242008,5,41,14_pc_41,2004,2,33,85,360,85 _ 2004
picnic_2004,M,2004,picnic,192,35,7,0.04,0.12,0.031662393,0.085034014,0.094339623,0.166666667,-3.261764706,3.261764706,0.261912071,6,1,uv,1,0,high,high,478.6857188,1287.046846,808.3611272,23.09603221,5,41,14_pc_41,2004,2,33,85,772,85 _ 2004
picnic_2004,M,2004,picnic,192,35,7,0.04,0.12,0.031662393,0.085034014,0.094339623,0.166666667,-3.261764706,3.261764706,0.261912071,6,1,uv,1,1,high,high,553.3680108,1416.489027,863.1210162,24.66060046,5,41,14_pc_41,2004,2,33,85,229,85 _ 2004
picnic_2006,M,2006,picnic,179,48,6,0.086956522,0.043478261,0.007150484,0.079584775,0.134110787,0.4,-2.710543549,2.710543549,0.143154184,3,4,uv,1,1,high,high,382.3437232,1413.85738,1031.513657,21.48986785,7,52,14_pc_52,2006,3,44,85,297,85 _ 2006
picnic_2006,M,2006,picnic,179,48,6,0.086956522,0.043478261,0.007150484,0.079584775,0.134110787,0.4,-2.710543549,2.710543549,0.143154184,3,4,uv,0,0,high,high,420.8472803,1484.807077,1063.959797,22.1658291,7,52,14_pc_52,2006,3,44,85,268,85 _ 2006
picnic_2006,M,2006,picnic,179,48,6,0.086956522,0.043478261,0.007150484,0.079584775,0.134110787,0.4,-2.710543549,2.710543549,0.143154184,3,4,uv,1,1,high,high,315.1685549,1305.558479,990.3899241,20.63312342,7,52,14_pc_52,2006,3,44,85,1010,85 _ 2006
picnic_2006,M,2006,picnic,NA,NA,6,0.086956522,0.043478261,0.007150484,0.079584775,0.134110787,0.4,-2.710543549,2.710543549,0.143154184,3,4,uv,1,1,high,high,403.4682471,1270.798793,867.3305459,NA,7,52,14_pc_52,2006,3,44,85,836,85 _ 2006
picnic_2006,M,2006,picnic,184,43,6,0.086956522,0.043478261,0.007150484,0.079584775,0.134110787,0.4,-2.710543549,2.710543549,0.143154184,3,4,uv,1,1,high,high,500.1987929,1419.661897,919.4631041,21.38286289,7,52,14_pc_52,2006,3,44,85,333,85 _ 2006
picnic_2006,M,2006,picnic,NA,NA,6,0.086956522,0.043478261,0.007150484,0.079584775,0.134110787,0.4,-2.710543549,2.710543549,0.143154184,3,4,uv,1,1,high,high,388.7710468,1226.018132,837.2470852,NA,7,52,14_pc_52,2006,3,44,85,893,85 _ 2006
mm_2002,M,2002,mm,200,27,7,0.4,0,0,0.166666667,0.416666667,1,-1.45,1.45,0.331714873,0,3,uv,1,1,high,high,568.1973196,1304.899459,736.7021394,27.28526442,8,9,14_mm_9,2002,2,6,51,111,51 _ 2002
mm_2002,F,2002,mm,200,27,7,0.4,0,0,0.166666667,0.416666667,1,-1.45,1.45,0.331714873,0,3,uv,1,1,high,high,497.2635362,1129.912754,632.6492178,23.43145251,8,9,14_mm_9,2002,2,6,51,1019,51 _ 2002
mm_2002,F,2002,mm,200,27,7,0.4,0,0,0.166666667,0.416666667,1,-1.45,1.45,0.331714873,0,3,uv,1,1,high,high,501.7919096,988.5555431,486.7636335,18.02828272,8,9,14_mm_9,2002,2,6,51,156,51 _ 2002
mm_2002,M,2002,mm,200,27,7,0.4,0,0,0.166666667,0.416666667,1,-1.45,1.45,0.331714873,0,3,uv,1,1,high,high,620.5678903,1370.166239,749.5983487,27.7629018,8,9,14_mm_9,2002,2,6,51,760,51 _ 2002
mm_2002,M,2002,mm,200,27,7,0.4,0,0,0.166666667,0.416666667,1,-1.45,1.45,0.331714873,0,3,uv,1,1,high,high,652.1585847,1415.205489,763.0469043,28.26099646,8,9,14_mm_9,2002,2,6,51,707,51 _ 2002
mm_2002,F,2002,mm,200,27,7,0.4,0,0,0.166666667,0.416666667,1,-1.45,1.45,0.331714873,0,3,uv,1,1,high,high,421.0326412,905.4947759,484.4621347,17.94304203,8,9,14_mm_9,2002,2,6,51,470,51 _ 2002
mm_2002,F,2002,mm,200,27,7,0.4,0,0,0.166666667,0.416666667,1,-1.45,1.45,0.331714873,0,3,uv,1,1,high,high,493.1586779,1088.823162,595.6644841,22.06164756,8,9,14_mm_9,2002,2,6,51,689,51 _ 2002
mm_2003,M,2003,mm,NA,NA,8,0.222222222,0,0.222222222,0.1,0.219512195,0,-1.621621622,1.621621622,0.210274042,0,2,uv,1,1,high,low,264.8524658,961.041795,696.1893292,NA,9,11,14_mm_11,2003,3,11,51,395,51 _ 2003
mm_2003,M,2003,mm,200,27,8,0.222222222,0,0.222222222,0.1,0.219512195,0,-1.621621622,1.621621622,0.210274042,0,2,uv,1,1,high,low,452.8727086,1012.923545,560.0508364,20.74262357,9,11,14_mm_11,2003,3,11,51,683,51 _ 2003
mm_2003,F,2003,mm,200,27,8,0.222222222,0,0.222222222,0.1,0.219512195,0,-1.621621622,1.621621622,0.210274042,0,2,uv,1,1,high,low,441.7197175,912.4847187,470.7650012,17.43574079,9,11,14_mm_11,2003,3,11,51,913,51 _ 2003
